Species,Species.abbr,Age.Ma.avg,Species.Name,Species name adjusted to 10kTrees,Species name in Perelman tree ,Subfamily,Family,ExtantOrFossil,EncephalizationGroup,logECV,logBodyMass,ECV,N ECV,Sex ECV,Source ECV,BodyMass,N Body mass,Sex Body mass,Source Body mass,Original source Body mass
Allenopithecus nigroviridis,,,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,Cercopithecinae,Cercopithecidae,Extant,Ancestral,1.729950392,3.50242712,53.69704571,7,fem,Isler et al. 2008,3180,1,fem,Isler et al. 2008,Smith&Jungers 1997
Allocebus trichotis,,,Allocebus_trichotis,Allocebus_trichotis,Allocebus_trichotis,,Cheirogaleidae,Extant,Ancestral,,,,,,,,,,,
Alouatta arctoidea,,,Alouatta_arctoidea,Alouatta_arctoidea,Alouatta_arctoidea,Alouattinae,Atelidae,Extant,Ancestral,,,,,,,,,,,
Alouatta belzebul,,,Alouatta_belzebul,Alouatta_belzebul,Alouatta_belzebul,Alouattinae,Atelidae,Extant,Ancestral,1.707083299,3.742332282,50.94285714,14,fem,van Woerden compilation,5525,26,fem,Isler et al. 2008,Ford and Davis 1992 in Smith and Jungers 1997
Alouatta caraya,,,Alouatta_caraya,Alouatta_caraya,Alouatta_caraya,Alouattinae,Atelidae,Extant,Ancestral,1.692223855,3.627365857,49.22932199,6,fem,van Woerden compilation,4240,5,fem,Isler et al. 2008 (matching),matching ECV
Alouatta discolor,,,Alouatta_discolor,Alouatta_discolor,Alouatta_discolor,Alouattinae,Atelidae,Extant,Ancestral,,,,,,,,,,,
Alouatta guariba,,,Alouatta_guariba,Alouatta_guariba,Alouatta_guariba,Alouattinae,Atelidae,Extant,Ancestral,1.685781071,3.658011397,48.50439263,9,fem,van Woerden compilation,4550,3,fem,Isler et al. 2008,matching ECV
Alouatta juara,,,Alouatta_juara,Alouatta_juara,Alouatta_juara,Alouattinae,Atelidae,Extant,Ancestral,,,,,,,,,,,
Alouatta macconnelli,,,Alouatta_macconnelli,Alouatta_macconnelli,Alouatta_macconnelli,Alouattinae,Atelidae,Extant,Ancestral,1.72966336,,53.66156815,1,fem,van Woerden compilation,,,,,
Alouatta palliata,,,Alouatta_palliata,Alouatta_palliata,Alouatta_palliata,Alouattinae,Atelidae,Extant,Ancestral,1.68944861,3.728353782,48.915738,30,fem,van Woerden compilation,5350,177,fem,Isler et al. 2008,Peres 1994 in Smith and Jungers 1997
Alouatta pigra,,,Alouatta_pigra,Alouatta_pigra,Alouatta_pigra,Alouattinae,Atelidae,Extant,Ancestral,1.691744369,3.748808005,49.175,20,fem,van Woerden compilation,5608,40,fem,Glander in ATWP 2011,
Alouatta sara,,,Alouatta_sara,Alouatta_sara,Alouatta_sara,Alouattinae,Atelidae,Extant,Ancestral,1.753965866,,56.75,2,fem,van Woerden compilation,,,,,
Alouatta seniculus,,,Alouatta_seniculus,Alouatta_seniculus,Alouatta_seniculus,Alouattinae,Atelidae,Extant,Ancestral,1.742636833,3.716837723,55.28875791,39,fem,van Woerden compilation,5210,76,fem,Isler et al. 2008,"Ayres 86, Rudran 79, Braza et al 83, Hernandez-Camacho&Defler 85 in Smith and Jungers 1997"
Aotus azarae,,,Aotus_azarae,Aotus_azarai,Aotus_azarae,,Aotidae,Extant,Ancestral,1.304036554,3.096910013,20.1389375,8,all individuals,van Woerden compilation,1250,55,all individuals,Fernandez-Duque 2004 in same 07,
Aotus miconax,,,Aotus_miconax,Aotus_miconax,Aotus_miconax,,Aotidae,Extant,Ancestral,1.22160051,,16.65714286,7,all individuals,van Woerden compilation,,,,,
Aotus nancymaae,,,Aotus_nancymaae,Aotus_nancymaae,Aotus_nancymae,,Aotidae,Extant,Ancestral,1.252549647,2.895974732,17.8875,8,all individuals,van Woerden compilation,787,56,all individuals,Aquino and Encarnacion 1986b inFernandez-Duque 07,
Aotus nigriceps,,,Aotus_nigriceps,Aotus_nigriceps,Aotus_nigriceps,,Aotidae,Extant,Ancestral,1.245288284,2.981365509,17.59090909,11,all individuals,van Woerden compilation,958,3,all individuals,Isler et al. 2008,Peres 1993 in Smith and Jungers 1997
Aotus trivirgatus,,,Aotus_trivirgatus,Aotus_trivirgatus,Aotus_trivirgatus,,Aotidae,Extant,Ancestral,1.205897042,2.995145057,16.06560342,22,all individuals,van Woerden compilation,988.8833333,12,all individuals,van Woerden compilation (matching),matching ECV
Aotus vociferans,,,Aotus_vociferans,Aotus_vociferans,Aotus_vociferans,,Aotidae,Extant,Ancestral,1.247973266,2.846955325,17.7,11,all individuals,van Woerden compilation,703,40,all individuals,Isler et al. 2008,Montoya et al. 1995  in Smith and Jungers 1997
Arctocebus aureus,,,Arctocebus_aureus,Arctocebus_aureus,Arctocebus_aureus,,Loridae,Extant,Ancestral,0.769477952,2.322219295,5.881362555,6,all individuals,van Woerden compilation,210,30,all individuals,Smith&Jungers 1997,Charles-Dominique 1977 book
Arctocebus calabarensis,,,Arctocebus_calabarensis,Arctocebus_calabarensis,Arctocebus_calabarensis,,Loridae,Extant,Ancestral,0.844190396,2.489958479,6.98538578,24,all individuals,van Woerden compilation,309,12,all individuals,Isler et al. 2008,
Ateles belzebuth,,,Ateles_belzebuth,Ateles_belzebuth,Ateles_belzebuth,Atelinae,Atelidae,Extant,Ancestral,2.052377622,3.928622598,112.8177987,21,fem,van Woerden compilation,8484.428571,7,fem,van Woerden compilation (matching),matching ECV
Ateles chamek,,,Ateles_chamek,Ateles_chamek,Ateles_chamek,Atelinae,Atelidae,Extant,Ancestral,2.042488006,,110.2777778,18,fem,van Woerden compilation,,,,,
Ateles fusciceps,,,Ateles_fusciceps,Ateles_fusciceps,Ateles_fusciceps,Atelinae,Atelidae,Extant,Ancestral,2.031608183,3.961895474,107.5494474,19,fem,van Woerden compilation,9160,11,fem,Isler et al. 2008,Crile&Quiring 40 in Smith and Jungers 1997
Ateles geoffroyi,,,Ateles_geoffroyi,Ateles_geoffroyi,Ateles_geoffroyi,Atelinae,Atelidae,Extant,Ancestral,2.014767713,3.886490725,103.4588658,32,fem,van Woerden compilation,7700,101,fem,Di Fiore and Campbell 07,
Ateles hybridus,,,Ateles_hybridus,Ateles_hybridus,Ateles_hybridus,Atelinae,Atelidae,Extant,Ancestral,2.01112305,3.878521796,102.5942569,8,fem,van Woerden compilation,7560,3,fem,van Woerden compilation (matching),matching ECV
Ateles paniscus,,,Ateles_paniscus,Ateles_paniscus,Ateles_paniscus,Atelinae,Atelidae,Extant,Ancestral,2.031677711,3.906873535,107.5666667,12,fem,van Woerden compilation,8070,49,fem,Isler et al. 2008,matching ECV
Avahi cleesei,,,Avahi_cleesei,Avahi_cleesei,Avahi_cleesei,,Indridae,Extant,Ancestral,,,,,,,,,,,
Avahi laniger,,,Avahi_laniger,Avahi_laniger,Avahi_laniger,,Indridae,Extant,Ancestral,0.978428684,3.08170727,9.515435811,37,all individuals,van Woerden compilation,1207,10,all individuals,Isler et al. 2008,
Avahi occidentalis,,,Avahi_occidentalis,Avahi_occidentalis,Avahi_occidentalis,,Indridae,Extant,Ancestral,0.900367129,,7.95,2,all individuals,van Woerden compilation,,,,,
Avahi peyrierasi,,,Avahi_peyrierasi,Avahi_peyrierasi,Avahi_peyrierasi,,Indridae,Extant,Ancestral,,,,,,,,,,,
Brachyteles arachnoides,,,Brachyteles_arachnoides,Brachyteles_arachnoides,Brachyteles_arachnoides,Atelinae,Atelidae,Extant,Ancestral,2.00878261,3.906873535,102.0428571,7,all individuals,van Woerden compilation,8070,3,fem,Isler et al. 2008,Lemos de Sa&Glander 93 in Smith and Jungers 1997
Brachyteles hypoxanthus,,,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus,Atelinae,Atelidae,Extant,Ancestral,,3.924279286,,,,,8400,,fem,Lemos de Sa&Glander 93,ATWP 2011
Cacajao ayresi,,,Cacajao_ayresi,Cacajao_ayresi,Cacajao_ayresi,,Pitheciidae,Extant,Ancestral,,,,,,,,,,,
Cacajao calvus,,,Cacajao_calvus,Cacajao_calvus,Cacajao_calvus,,Pitheciidae,Extant,Ancestral,1.849698541,3.459392488,70.74545455,11,fem,Isler et al. 2008,2880,2,fem,Isler et al. 2008,Ayres 1986 in Smith and Jungers 1997
Cacajao melanocephalus,,,Cacajao_melanocephalus,Cacajao_melanocephalus,Cacajao_melanocephalus,,Pitheciidae,Extant,Ancestral,1.792251572,3.361727836,61.98,5,fem,van Woerden compilation,2300,3,fem,van Woerden compilation (matching),matching ECV
Callicebus brunneus,,,Callicebus_brunneus,Callicebus_brunneus,Callicebus_brunneus,,Callicebidae,Extant,Ancestral,1.255272505,,18,1,all individuals,van Woerden compilation,,,,,
Callicebus caligatus,,,Callicebus_caligatus,Callicebus_caligatus,Callicebus_caligatus,,Callicebidae,Extant,Ancestral,1.234896746,2.944482672,17.175,4,all individuals,van Woerden compilation,880,1,all individuals,Isler et al. 2008,Smith&Jungers 1997
Callicebus cupreus,,,Callicebus_cupreus,Callicebus_cupreus,Callicebus_cupreus,,Callicebidae,Extant,Ancestral,1.24153995,2.94792362,17.43973775,14,all individuals,van Woerden compilation,887,5,all individuals,van Woerden compilation (matching),matching ECV
Callicebus discolor,,,Callicebus_discolor,Callicebus_discolor,Callicebus_discolor,,Callicebidae,Extant,Ancestral,1.230448921,,17,1,all individuals,van Woerden compilation,,,,,
Callicebus lugens,,,Callicebus_lugens,Callicebus_lugens,Callicebus_lugens,,Callicebidae,Extant,Ancestral,1.281764011,3.037426498,19.1321603,16,all individuals,van Woerden compilation,1090,10,all individuals,van Woerden compilation (matching),matching ECV
Callicebus moloch,,,Callicebus_moloch,Callicebus_moloch,Callicebus_moloch,,Callicebidae,Extant,Ancestral,1.187520721,2.994756945,15.4,3,all individuals,van Woerden compilation,988,29,all individuals,Smith&Jungers 1997,"Ayres 86, Hershkovitz 90, Ferrari&Lopes 95"
Callicebus oenanthe,,,Callicebus_oenanthe,Callicebus_oenanthe,Callicebus_oenanthe,,Callicebidae,Extant,Ancestral,1.1430148,,13.9,1,all individuals,van Woerden compilation,,,,,
Callicebus personatus,,,Callicebus_personatus,Callicebus_personatus,Callicebus_personatus,,Callicebidae,Extant,Ancestral,1.305351369,,20.2,1,all individuals,van Woerden compilation,,,,,
Callicebus torquatus,,,Callicebus_torquatus,Callicebus_torquatus,Callicebus_torquatus,,Callicebidae,Extant,Ancestral,1.296097678,3.095169351,19.77414333,6,all individuals,van Woerden compilation,1245,36,all individuals,Smith&Jungers 1997,matching ECV
Callimico goeldii,,,Callimico_goeldii,Callimico_goeldii,Callimico_goeldii,,Callitrichidae,Extant,Ancestral,1.050887039,2.598712361,11.243125,12,all individuals,van Woerden compilation,396.9285714,11,all individuals,"ATWP 2011: Porter pers comm, Encarnacion, Garber pers comm",
Callithrix aurita,,,Callithrix_aurita,Callithrix_aurita,Callithrix_aurita,,Callitrichidae,Extant,Ancestral,0.92556991,,8.425,4,all individuals,van Woerden compilation,,,,,
Callithrix flaviceps,,,Callithrix_flaviceps,Callithrix_flaviceps,Callithrix_flaviceps,,Callitrichidae,Extant,Ancestral,,,,,,,,,,,
Callithrix geoffroyi,,,Callithrix_geoffroyi,Callithrix_geoffroyi,Callithrix_geoffroyi,,Callitrichidae,Extant,Ancestral,0.990116766,2.529462438,9.775,4,all individuals,van Woerden compilation,338.425,11,all individuals,"Bicca-Marques pers obs, Ford and Davis 1992 in ATWP 2011",
Callithrix jacchus,,,Callithrix_jacchus,Callithrix_jacchus,Callithrix_jacchus,,Callitrichidae,Extant,Ancestral,0.874325619,2.505149978,7.487306625,16,all individuals,van Woerden compilation,320,155,all individuals,"Araujo 2000 in ATWP 2011, wild",
Callithrix kuhlii,,,Callithrix_kuhlii,Callithrix_kuhlii,Callithrix_kuhlii,,Callitrichidae,Extant,Ancestral,0.901642009,2.572096768,7.973371676,7,all individuals,van Woerden compilation,373.3333333,6,all individuals,van Woerden compilation (matching),
Callithrix penicillata,,,Callithrix_penicillata,Callithrix_penicillata,Callithrix_penicillata,,Callitrichidae,Extant,Ancestral,0.855333077,2.475832546,7.166928589,28,all individuals,van Woerden compilation,299.1111111,9,all individuals,van Woerden compilation (matching),matching ECV
Cebuella pygmaea,,,Cebuella_pygmaea,Callithrix_pygmaea,Cebuella_pygmaea,,Callitrichidae,Extant,Ancestral,0.622680799,2.064457989,4.1945058,20,all individuals,van Woerden compilation,116,63,all individuals,Isler et al. 2008,Soini 1988
Cebus albifrons,,,Cebus_albifrons,Cebus_albifrons,Cebus_albifrons,,Cebidae,Extant,Ancestral,1.819573119,3.303897708,66.00443516,33,fem,van Woerden compilation,2013.25,8,fem,van Woerden compilation (matching),
Cebus apella,,,Cebus_apella,Cebus_apella,Cebus_apella,,Cebidae,Extant,Ancestral,1.807102186,3.404621647,64.1360466,78,fem,van Woerden compilation,2538.76,25,fem,van Woerden compilation (matching),matching ECV
Cebus capucinus,,,Cebus_capucinus,Cebus_capucinus,Cebus_capucinus,,Cebidae,Extant,Ancestral,1.840234722,3.386766416,69.22049842,35,fem,van Woerden compilation,2436.5,6,fem,van Woerden compilation (matching),matching ECV
Cebus libidinosus,,,Cebus_libidinosus,Cebus_libidinosus,Cebus_libidinosus,,Cebidae,Extant,Ancestral,1.803822157,3.325707623,63.65348079,31,fem,Isler et al. 2008,2116.935484,31,fem,van Woerden compilation (matching),matching ECV
Cebus nigritus,,,Cebus_nigritus,Cebus_nigritus,Cebus_nigritus,,Cebidae,Extant,Ancestral,1.813127378,3.348601122,65.03203999,23,fem,Isler et al. 2008,2231.521739,23,fem,van Woerden compilation (matching),matching ECV
Cebus olivaceus,,,Cebus_olivaceus,Cebus_olivaceus,Cebus_olivaceus,,Cebidae,Extant,Ancestral,1.845633245,3.342768005,70.08631806,12,fem,van Woerden compilation,2201.75,4,fem,van Woerden compilation (matching),matching ECV
Cebus xanthosternos,,,Cebus_xanthosternos,Cebus_xanthosternos,Cebus_xanthosternos,,Cebidae,Extant,Ancestral,1.806212676,3.335792102,64.0048194,3,fem,Isler et al. 2008,2166.666667,3,fem,van Woerden compilation (matching),matching ECV
Cercocebus agilis,,,Cercocebus_agilis,Cercocebus_agilis,Cercocebus_agilis,Cercopithecinae,Cercopithecidae,Extant,Ancestral,2.004186636,,100.96867,10,fem,van Woerden compilation,,,,,
Cercocebus atys,,,Cercocebus_atys,Cercocebus_torquatus_atys,Cercocebus_atys,Cercopithecinae,Cercopithecidae,Extant,Ancestral,1.938519725,3.792391689,86.8,10,fem,Isler et al. 2008,6200,4,fem,Isler et al. 2008,Oates et al. 1990 in Smith and Jungers 1997
Cercocebus galeritus,,,Cercocebus_galeritus,Cercocebus_galeritus,Cercocebus_galeritus,Cercopithecinae,Cercopithecidae,Extant,Ancestral,1.979262119,3.568201724,95.33714,1,fem,van Woerden compilation,3700,1,fem,Wieczkowski&Butynski in press in ATWP 2011,
Cercocebus torquatus,,,Cercocebus_torquatus,Cercocebus_torquatus,Cercocebus_torquatus,Cercopithecinae,Cercopithecidae,Extant,Ancestral,1.970726729,3.752624563,93.4817275,4,fem,van Woerden compilation,5657.5,,fem,"various, ATWP 2011 (captives excluded)",
Cercopithecus ascanius,,,Cercopithecus_ascanius,Cercopithecus_ascanius,Cercopithecus_ascanius,cephus group,Cercopithecidae,Extant,Ancestral,1.753461847,3.462547729,56.68417725,25,fem,van Woerden compilation,2901,3,fem,van Woerden compilation (matching),matching ECV
Cercopithecus campbelli,,,Cercopithecus_campbelli,Cercopithecus_campbelli,Cercopithecus_campbelli,mona group,Cercopithecidae,Extant,Ancestral,1.732912064,3.373916833,54.06448422,27,fem,van Woerden compilation,2365.466667,15,fem,van Woerden compilation (matching),matching ECV
Cercopithecus campbelli lowei,,,Cercopithecus_campbelli_lowei,Cercopithecus_campbelli_lowei,Cercopithecus_campbelli_lowei,mona group,Cercopithecidae,Extant,Ancestral,1.709153544,3.32159843,51.18627713,6,fem,van Woerden compilation,2097,6,fem,van Woerden compilation (matching),
Cercopithecus cephus,,,Cercopithecus_cephus,Cercopithecus_cephus,Cercopithecus_cephus,cephus group,Cercopithecidae,Extant,Ancestral,1.782313292,3.459392488,60.57777137,17,fem,van Woerden compilation,2880,10,fem,Isler et al. 2008,"Malbrant&Maclatchy 1949, Gautier-Hion&Gautier 76 in Smith and Jungers 1997"
Cercopithecus diana,,,Cercopithecus_diana,Cercopithecus_diana,Cercopithecus_diana,diana group,Cercopithecidae,Extant,Ancestral,1.758100481,3.591064607,57.29285714,14,fem,van Woerden compilation,3900,11,fem,Isler et al. 2008,Oates et al. 1990 in Smith and Jungers 1997
Cercopithecus erythrogaster,,,Cercopithecus_erythrogaster,Cercopithecus_erythrogaster,Cercopithecus_erythrogaster,cephus group,Cercopithecidae,Extant,Ancestral,,3.462397998,,,,,2900,,fem,"Smith and Jungers 1997 (n unknown, from graph in Haltenorth and Diller 1980)",
Cercopithecus hamlyni,,,Cercopithecus_hamlyni,Cercopithecus_hamlyni,Cercopithecus_hamlyni,hamlyni group,Cercopithecidae,Extant,Ancestral,1.791456717,,61.86666667,3,fem,van Woerden compilation,,,,,
Cercopithecus lhoesti,,,Cercopithecus_lhoesti,Cercopithecus_lhoesti,Cercopithecus_lhoesti,lhoesti group,Cercopithecidae,Extant,Ancestral,1.820380612,3.537819095,66.12727273,11,fem,van Woerden compilation,3450,50,fem,Isler et al. 2008,Smith and Jungers 1997
Cercopithecus mitis,,,Cercopithecus_mitis,Cercopithecus_mitis,Cercopithecus_mitis,mitis group,Cercopithecidae,Extant,Ancestral,1.81705747,3.59439255,65.62320991,57,fem,van Woerden compilation,3930,41,fem,Colyn 1994,in Smith and Jungers 1997
Cercopithecus mona,,,Cercopithecus_mona,Cercopithecus_mona,Cercopithecus_mona,mona group,Cercopithecidae,Extant,Ancestral,1.752048448,3.505149978,56.5,9,fem,van Woerden compilation,3200,4,fem,"diverse in ATWP 2011, few values",
Cercopithecus neglectus,,,Cercopithecus_neglectus,Cercopithecus_neglectus,Cercopithecus_neglectus,neglectus group,Cercopithecidae,Extant,Ancestral,1.784344662,3.550228353,60.86178173,12,fem,Isler et al. 2008,3550,3,fem,Colyn 1974 in ATWP 2011,
Cercopithecus nictitans,,,Cercopithecus_nictitans,Cercopithecus_nictitans,Cercopithecus_nictitans,mitis group,Cercopithecidae,Extant,Ancestral,1.831420694,3.629409599,67.82982456,19,fem,van Woerden compilation,4260,30,fem,Isler et al. 2008,Smith&Jungers 1997
Cercopithecus petaurista,,,Cercopithecus_petaurista,Cercopithecus_petaurista,Cercopithecus_petaurista,cephus group,Cercopithecidae,Extant,Ancestral,1.722208387,3.465112347,52.74829021,28,fem,van Woerden compilation,2918.181818,11,fem,van Woerden compilation (matching),matching ECV
Cercopithecus pogonias,,,Cercopithecus_pogonias,Cercopithecus_pogonias,Cercopithecus_pogonias,mona group,Cercopithecidae,Extant,Ancestral,1.760374609,3.46834733,57.59365079,21,fem,van Woerden compilation,2940,10,fem,Isler et al. 2008,Gautier Hion 1999
Cercopithecus pogonias wolfi,,,Cercopithecus_pogonias_wolfi,Cercopithecus_pogonias_wolfi,Cercopithecus_pogonias_wolfi,mona group,Cercopithecidae,Extant,Ancestral,1.728353782,3.457881897,53.5,1,fem,van Woerden compilation,2870,120,fem,Isler et al. 2008,Smith&Jungers 1997
Cercopithecus preussi,,,Cercopithecus_preussi,Cercopithecus_preussi,Cercopithecus_preussi,lhoesti group,Cercopithecidae,Extant,Ancestral,1.797959644,,62.8,2,fem,van Woerden compilation,,,,,
Cheirogaleus major,,,Cheirogaleus_major,Cheirogaleus_major,Cheirogaleus_major,,Cheirogaleidae,Extant,Ancestral,0.751685808,2.602059991,5.645284167,24,all individuals,van Woerden compilation,400,9,all individuals,Isler et al. 2008,
Cheirogaleus medius,,,Cheirogaleus_medius,Cheirogaleus_medius,Cheirogaleus_medius,,Cheirogaleidae,Extant,Ancestral,0.405463194,2.144574208,2.543684211,19,all individuals,van Woerden compilation,139.5,99,all individuals,Isler et al. 2008,
Chiropotes albinasus,,,Chiropotes_albinasus,Chiropotes_albinasus,Chiropotes_albinasus,,Pitheciidae,Extant,Ancestral,1.760723972,3.454311188,57.64,5,all individuals,van Woerden compilation,2846.5,10,all individuals,"Ayres 1981, 1989 in Norconk 07",
Chiropotes chiropotes,,,Chiropotes_chiropotes,Chiropotes_chiropotes,Chiropotes_chiropotes,,Pitheciidae,Extant,Ancestral,1.739316727,3.40881136,54.86769637,32,all individuals,van Woerden compilation,2563.37037,27,all individuals,van Woerden compilation (matching),matching ECV
Chiropotes satanas,,,Chiropotes_satanas,Chiropotes_satanas,Chiropotes_satanas,,Pitheciidae,Extant,Ancestral,1.693786584,3.481442629,49.40678381,21,all individuals,van Woerden compilation,3030,9,all individuals,Hershkovitz 1985 in Smith and Jungers 1997 (this body mass from Surinam specimens most probably refers to C. chiropotes),
Chiropotes utahickae,,,Chiropotes_utahickae,Chiropotes_utahickae,Chiropotes_utahickae,,Pitheciidae,Extant,Ancestral,,,,,,,,,,,
Chlorocebus aethiops,,,Chlorocebus_aethiops,Chlorocebus_aethiops,Chlorocebus_aethiops,Cercopithecinae,Cercopithecidae,Extant,Ancestral,1.765273372,3.55337322,58.24697454,27,fem,van Woerden compilation,3575.8,30,fem,van Woerden compilation,matching ECV
Chlorocebus djamdjamensis,,,Chlorocebus_djamdjamensis,Chlorocebus_djamdjamensis,Chlorocebus_djamdjamensis,Cercopithecinae,Cercopithecidae,Extant,Ancestral,,,,,,,,,,,
Chlorocebus pygerythrus,,,Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Cercopithecinae,Cercopithecidae,Extant,Ancestral,1.777571457,3.55337322,59.91995201,34,fem,van Woerden compilation,3575.8,30,fem,van Woerden compilation (matching),matching ECV
Chlorocebus sabaeus,,,Chlorocebus_sabaeus,Chlorocebus_sabaeus,Chlorocebus_sabaeus,Cercopithecinae,Cercopithecidae,Extant,Ancestral,1.768362877,3.568201724,58.66281204,3,fem,Isler et al. 2008,3700,1,fem,Isler et al. 2008 (matching),matching ECV
Colobus angolensis,,,Colobus_angolensis,Colobus_angolensis,Colobus_angolensis,Colobinae,Cercopithecidae,Extant,Ancestral,1.859138297,3.87909588,72.3,18,female,Isler et al. 2008,7570,11,fem,Isler et al. 2008,"Oates et al. 94, Colyn 94 in Smith and Jungers 1997"
Colobus guereza,,,Colobus_guereza,Colobus_guereza,Colobus_guereza,Colobinae,Cercopithecidae,Extant,Ancestral,1.857331835,3.875387895,71.99989034,32,fem,van Woerden compilation,7505.642857,14,fem,van Woerden compilation (matching),matching ECV
Colobus polykomos,,,Colobus_polykomos,Colobus_polykomos,Colobus_polykomos,Colobinae,Cercopithecidae,Extant,Ancestral,1.851107259,3.826648544,70.9753036,28,fem,van Woerden compilation,6708.857143,7,fem,van Woerden compilation (matching),matching ECV
Colobus satanas,,,Colobus_satanas,Colobus_satanas,Colobus_satanas,Colobinae,Cercopithecidae,Extant,Ancestral,1.856124444,3.870403905,71.8,4,female,Isler et al. 2008,7420,5,fem,Isler et al. 2008,"Malbrant&Maclatchy 49, Sabater Pi 73, Oates et al. 94 in Smith and Jungers 1997"
Colobus vellerosus,,,Colobus_vellerosus,Colobus_vellerosus,Colobus_vellerosus,Colobinae,Cercopithecidae,Extant,Ancestral,1.848836661,3.858537198,70.60519575,8,fem,van Woerden compilation,7220,5,fem,van Woerden compilation (matching),matching ECV
Daubentonia madagascariensis,,,Daubentonia_madagascariensis,Daubentonia_madagascariensis,Daubentonia_madagascariensis,,Daubentoniidae,Extant,Ancestral,1.650304094,3.414095521,44.69964705,11,all individuals,Isler et al. 2008,2594.75,20,all individuals,Feistner & Sterling 1997,ATWP 2011
